Data,Descrizione,Fonte,Denominazione,Ente,Documento,Note
2/3/17,"Creaf, il sindaco Biffoni interviene in Consiglio comunale",http://comunicati.comune.prato.it/generali/?action=dettaglio&comunicato=14201700000284,Comunicati Stampa,Comune di Prato,,
21/03/17,Centro ricerche ed alta formazione Creaf srl Anticipazione finanziaria Accertamento interessi attivi su anticipazione e penali dal 01/01/2017 al 21/02/2017 (data dichiarazione fallimento 22/02/2017),https://albopretorio.provincia.prato.it/visualizza-dettagli.php?id_albo=201700382,Albo Pretorio,Provincia di Prato,https://archive.org/details/1243530227452.pdf,
3/4/17,Rapporto generale di monitoraggio strategico 2014. Approvazione.Decisione n. 6 del 04/05/2015 - Allegato: A - RAPPORTO DI MONITORAGGIO:... Azione 1.2.5.5 Svolgimento di un programma di attività concordato con Creaf srl nell'ambito del Centro di ricerca italo-cinese. ...                  Tipo pubblicazione: Atto soggetto a pubblicazione su Banca Dati (PBD),http://www.regione.toscana.it/bancadati/atti/DettaglioAttiG.xml?codprat=2017DG00000000391,Atti della Giunta Regionale,Regione Toscana,,
18/4/17,Rapporto generale di monitoraggio strategico 2014. Approvazione.Decisione n. 6 del 04/05/2015 - Allegato: A - RAPPORTO DI MONITORAGGIO:... Azione 1.2.5.5 Svolgimento di un programma di attività concordato con Creaf srl nell'ambito del Centro di ricerca italo-cinese. ...                  Tipo pubblicazione: Atto soggetto a pubblicazione su Banca Dati (PBD),http://www.regione.toscana.it/bancadati/atti/DettaglioAttiG.xml?codprat=2017DG00000000498,Atti della Giunta Regionale,Regione Toscana,,
2/5/17,Rapporto generale di monitoraggio strategico 2014. Approvazione.Decisione n. 6 del 04/05/2015 - Allegato: A - RAPPORTO DI MONITORAGGIO:... Azione 1.2.5.5 Svolgimento di un programma di attività concordato con Creaf srl nell'ambito del Centro di ricerca italo-cinese. ...                  Tipo pubblicazione: Atto soggetto a pubblicazione su Banca Dati (PBD),http://www.regione.toscana.it/bancadati/atti/DettaglioAttiG.xml?codprat=2017DG00000000555,Atti della Giunta Regionale,Regione Toscana,,
5/6/17,Bilancio di Previsione finanziario 2017 - 2019. Prima variazioneProposta di legge n. 24 del 05/06/2017 - Allegato: G - RELAZIONE ILLUSTRATIVA:... risoluzione della procedura concorsuale del Centro Ricerche per l'Alta Formazione (CReAF) nell'ambito del Programma 01 ...                  Tipo pubblicazione: Atto soggetto a pubblicazione su Banca Dati (PBD),http://www.regione.toscana.it/bancadati/atti/DettaglioAttiG.xml?codprat=2017DG00000000756,Atti della Giunta Regionale,Regione Toscana,,
5/6/17,Bilancio di Previsione finanziario 2017 - 2019. Prima variazioneProposta di legge n. 24 del 05/06/2017 - Allegato: G - RELAZIONE ILLUSTRATIVA:... risoluzione della procedura concorsuale del Centro Ricerche per l'Alta Formazione (CReAF) nell'ambito del Programma 01 ...                  Tipo pubblicazione: Atto soggetto a pubblicazione su Banca Dati (PBD),http://www.regione.toscana.it/bancadati/atti/DettaglioAttiG.xml?codprat=2017DG00000000760,Atti della Giunta Regionale,Regione Toscana,,
7/8/17,Bilancio di Previsione finanziario 2017 - 2019. Prima variazioneProposta di legge n. 24 del 05/06/2017 - Allegato: G - RELAZIONE ILLUSTRATIVA:... risoluzione della procedura concorsuale del Centro Ricerche per l'Alta Formazione (CReAF) nell'ambito del Programma 01 ...                  Tipo pubblicazione: Atto soggetto a pubblicazione su Banca Dati (PBD),http://www.regione.toscana.it/bancadati/atti/DettaglioAttiG.xml?codprat=2017DG00000001070,Atti della Giunta Regionale,Regione Toscana,,
15/9/17,Rinviato a data da destinarsi il consiglio comunale straordinario su Creaf,http://comunicati.comune.prato.it/generali/?action=dettaglio&comunicato=14201700001177,Comunicati Stampa,Comune di Prato,,
30/10/17,Società partecipate – anno 2017,https://trasparenza.provincia.prato.it/wp-content/uploads/2017/10/CREAF_2017.pdf,Amministrazione Trasparente,Provincia di Prato,https://archive.org/details/CREAF_2017.pdf,
13/11/17,Bilancio di Previsione finanziario 2017 - 2019. Prima variazioneProposta di legge n. 24 del 05/06/2017 - Allegato: G - RELAZIONE ILLUSTRATIVA:... risoluzione della procedura concorsuale del Centro Ricerche per l'Alta Formazione (CReAF) nell'ambito del Programma 01 ...                  Tipo pubblicazione: Atto soggetto a pubblicazione su Banca Dati (PBD),http://www.regione.toscana.it/bancadati/atti/DettaglioAttiG.xml?codprat=2017DG00000001482,Atti della Giunta Regionale,Regione Toscana,,
20/11/17,"Nota di aggiornamento al DEFR 2018. ApprovazioneProposta di deliberazione al C.R. n. 41 del 20/11/2017 - Allegato: 1B - alleg 1b report di monitoraggio:Allegato 1b REGIONE TOSCANA GIUNTA REGIONALE RAPPORTO GENERALE DI MONITORAGGIO STRATEGICO 2017 (LR 1/2015, art. ...                  Tipo pubblicazione: Atto soggetto a pubblicazione su Banca Dati (PBD)      ",http://www.regione.toscana.it/bancadati/atti/DettaglioAttiG.xml?codprat=2017DG00000001521,Atti della Giunta Regionale,Regione Toscana,,
11/12/17,"Nota di aggiornamento al DEFR 2018. ApprovazioneProposta di deliberazione al C.R. n. 41 del 20/11/2017 - Allegato: 1B - alleg 1b report di monitoraggio:Allegato 1b REGIONE TOSCANA GIUNTA REGIONALE RAPPORTO GENERALE DI MONITORAGGIO STRATEGICO 2017 (LR 1/2015, art. ...                  Tipo pubblicazione: Atto soggetto a pubblicazione su Banca Dati (PBD)      ",http://www.regione.toscana.it/bancadati/atti/DettaglioAttiG.xml?codprat=2017DG00000001683,Atti della Giunta Regionale,Regione Toscana,,
8/1/18,"Nota di aggiornamento al DEFR 2018. ApprovazioneProposta di deliberazione al C.R. n. 41 del 20/11/2017 - Allegato: 1B - alleg 1b report di monitoraggio:Allegato 1b REGIONE TOSCANA GIUNTA REGIONALE RAPPORTO GENERALE DI MONITORAGGIO STRATEGICO 2017 (LR 1/2015, art. ...                  Tipo pubblicazione: Atto soggetto a pubblicazione su Banca Dati (PBD)      ",http://www.regione.toscana.it/bancadati/atti/DettaglioAttiG.xml?codprat=2018DG00000001835,Atti della Giunta Regionale,Regione Toscana,,
9/4/18,"Nota di aggiornamento al DEFR 2018. ApprovazioneProposta di deliberazione al C.R. n. 41 del 20/11/2017 - Allegato: 1B - alleg 1b report di monitoraggio:Allegato 1b REGIONE TOSCANA GIUNTA REGIONALE RAPPORTO GENERALE DI MONITORAGGIO STRATEGICO 2017 (LR 1/2015, art. ...                  Tipo pubblicazione: Atto soggetto a pubblicazione su Banca Dati (PBD)      ",http://www.regione.toscana.it/bancadati/atti/DettaglioAttiG.xml?codprat=2018DG00000000476,Atti della Giunta Regionale,Regione Toscana,,
24/4/18,"Nota di aggiornamento al DEFR 2018. ApprovazioneProposta di deliberazione al C.R. n. 41 del 20/11/2017 - Allegato: 1B - alleg 1b report di monitoraggio:Allegato 1b REGIONE TOSCANA GIUNTA REGIONALE RAPPORTO GENERALE DI MONITORAGGIO STRATEGICO 2017 (LR 1/2015, art. ...                  Tipo pubblicazione: Atto soggetto a pubblicazione su Banca Dati (PBD)      ",http://www.regione.toscana.it/bancadati/atti/DettaglioAttiG.xml?codprat=2018DG00000000526,Atti della Giunta Regionale,Regione Toscana,,
